year,score_low,score_high,segment_count,cumulative_count
2025,431,431,161,53797
2025,429,429,186,54180
2025,428,428,147,54327
2025,427,427,182,54509
2025,426,426,164,54673
2025,425,425,175,54848
2025,424,424,180,55028
2025,423,423,160,55188
2025,422,422,149,55337
2025,421,421,154,55491
2025,420,420,136,55627
2025,419,419,150,55777
2025,418,418,163,55940
2025,417,417,139,56079
2025,416,416,146,56225
2025,415,415,157,56382
2025,414,414,130,56512
2025,413,413,152,56664
2025,412,412,122,56786
2025,411,411,137,56923
2025,410,410,148,57071
2025,409,409,128,57199
2025,408,408,144,57343
2025,407,407,139,57482
2025,406,406,130,57612
2025,405,405,146,57758
2025,404,404,145,57903
2025,403,403,127,58030
2025,402,402,124,58154
2025,401,401,120,58274
2025,400,400,131,58405
2025,399,399,119,58524
2025,398,398,132,58656
2025,397,397,118,58774
2025,396,396,136,58910
2025,395,395,118,59028
2025,394,394,97,59125
2025,393,393,123,59248
2025,392,392,102,59350
2025,391,391,92,59442
2025,390,390,109,59551
2025,389,389,93,59644
2025,388,388,111,59755
2025,387,387,91,59846
2025,386,386,92,59938
2025,385,385,104,60042
2025,384,384,102,60144
2025,383,383,99,60243
2025,382,382,80,60323
2025,381,381,80,60403
2025,380,380,82,60485
2025,370,379,785,61270
2025,360,369,721,61991
2025,350,359,635,62626
2025,340,349,496,63122
2025,330,339,422,63544
2025,320,329,337,63881
2025,310,319,277,64158
2025,300,309,245,64403
2025,290,299,206,64609
2025,280,289,155,64764
2025,270,279,126,64890
2025,260,269,107,64997
2025,250,259,81,65078
2025,240,249,66,65144
2025,230,239,46,65190
2025,220,229,35,65225
2025,210,219,30,65255
2025,200,209,19,65274
2025,190,199,27,65301
2025,180,189,19,65320
2025,170,179,21,65341
2025,160,169,13,65354
2025,150,159,17,65371
2025,140,149,9,65380
2025,130,139,12,65392
2025,120,129,8,65400
2025,110,119,10,65410
2025,100,109,24,65434
